 PATH                                                                                                                                                                     | SIZE      | CREATED    | MODIFIED   | PLEN | FLEN 
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/miniterm.py                                                                                         | 37840     | 1749664750 | 1749664750 | 80   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/serial/tools/list_ports_posix.py                                                                                 | 4535      | 1749664750 | 1749664750 | 88   | 19   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/__main__.py                                                                                                  | 854       | 1749664739 | 1749664739 | 71   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/cache.py                                                                                           | 10369     | 1749664739 | 1749664739 | 78   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/_envs.py                                                                        | 7431      | 1749664739 | 1749664739 | 97   | 8    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/__init__.py                                                                     | 135       | 1749664739 | 1749664739 | 100  | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/_dists.py                                                                       | 8279      | 1749664739 | 1749664739 | 98   | 9    
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/_compat.py                                                                      | 2796      | 1749664739 | 1749664739 | 99   | 10   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/__pycache__/_envs.cpython-313.pyc                                               | 11170     | 1749664739 | 1749664739 | 122  | 21   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/__pycache__/_compat.cpython-313.pyc                                             | 4528      | 1749664739 | 1749664739 | 124  | 23   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/__pycache__/_dists.cpython-313.pyc                                              | 13115     | 1749664739 | 1749664739 | 123  | 22   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/importlib/__pycache__/__init__.cpython-313.pyc                                            | 350       | 1749664739 | 1749664739 | 125  | 24   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/__init__.py                                                                               | 4337      | 1749664739 | 1749664739 | 90   | 11   
 /home/simon/projects/esp32/lib/python3.13/site-packages/pip/_internal/metadata/pkg_resources.py                                                                          | 10542     | 1749664739 | 1749664739 | 95   | 16   
